
id,position,type
MCO825255064,1,ITEM
MCO559508714,2,ITEM
MCO601542341,3,ITEM
MCO624337760,4,ITEM
MCO556668280,5,ITEM
MCO18554637,6,PRODUCT
MCO573785607,7,ITEM
MCO844377861,8,ITEM
MCO883390298,9,ITEM
MCO835689364,10,ITEM
MCO562190390,11,ITEM
MCO489153665,12,ITEM
MCO626831400,13,ITEM
MCO625558738,14,ITEM
MCO847052153,15,ITEM
MCO597258206,16,ITEM
MCO595317399,17,ITEM
MCO525091929,18,ITEM
MCO612832773,19,ITEM
MCO595478492,20,ITEM
MCO562536464,1,ITEM
MCO555620638,2,ITEM
MCO565966889,3,ITEM
MCO822732949,4,ITEM
MCO819718209,5,ITEM
MCO566638722,6,ITEM
MCO592699335,7,ITEM
MCO618838910,8,ITEM
MCO601282583,9,ITEM
MCO598596578,10,ITEM
MCO576705741,11,ITEM
MCO607182344,12,ITEM
MCO640871523,13,ITEM
MCO901402504,14,ITEM
MCO658346019,15,ITEM
MCO578958550,16,ITEM
MCO817189634,17,ITEM
MCO842662915,18,ITEM
MCO570043564,19,ITEM
MCO602951378,20,ITEM
MCO817169589,1,ITEM
MCO462491908,2,ITEM
MCO886228842,3,ITEM
MCO601178555,4,ITEM
MCO463777232,5,ITEM
MCO594827217,6,ITEM
MCO570586626,7,ITEM
MCO555877162,8,ITEM
MCO574138016,9,ITEM
MCO597597567,10,ITEM
MCO493217254,11,ITEM
MCO606648866,12,ITEM
MCO561866894,13,ITEM
MCO570580451,14,ITEM
MCO620923779,15,ITEM
MCO570059471,16,ITEM
MCO486540513,17,ITEM
MCO656607435,18,ITEM
MCO836316401,19,ITEM
MCO867711706,20,ITEM
MCO829449957,1,ITEM
MCO829721947,2,ITEM
MCO573330323,3,ITEM
MCO485749035,4,ITEM
MCO17473366,5,PRODUCT
MCO562737257,6,ITEM
MCO12017739,7,PRODUCT
MCO593127418,8,ITEM
MCO830394549,9,ITEM
MCO18209544,10,PRODUCT
MCO598171624,11,ITEM
MCO601793991,12,ITEM
MCO888812814,13,ITEM
MCO10628082,14,PRODUCT
MCO653022851,15,ITEM
MCO886797433,16,ITEM
MCO450023274,17,ITEM
MCO532537001,18,ITEM
MCO483911144,19,ITEM
MCO17451768,20,PRODUCT
MCO652323820,1,ITEM
MCO575772910,2,ITEM
MCO618868960,3,ITEM
MCO867338943,4,ITEM
MCO867338862,5,ITEM
MCO826656756,6,ITEM
MCO841016027,7,ITEM
MCO806410286,8,ITEM
MCO652324054,9,ITEM
MCO889675758,10,ITEM
MCO475893038,11,ITEM
MCO884056216,12,ITEM
MCO603217732,13,ITEM
MCO625070718,14,ITEM
MCO618873105,15,ITEM
MCO638491242,16,ITEM
MCO831357680,17,ITEM
MCO468163806,18,ITEM
MCO899548705,19,ITEM
MCO501663157,20,ITEM
