id,title,base_price,sold_quantity,rating_average,visits
MCO825255064,Impermeable Siliconado Para Motociclista,55385,1976,4.3,82740
MCO559508714,Carpa Pijama Semi-impermeable Para Moto Con Argolla Metalica,29900,500,4.3,148397
MCO601542341,Escaner Elm327 Automotriz Vehicular Bluetooth Obd2 Carro,23990,500,4.3,36477
MCO624337760,Impermeable Siliconado Para Motociclista,59000,1699,4.4,87957
MCO556668280,Maletero Tomcat 34lt Litros Tipo Shad Givi Envío Gratis,99950,455,4.8,39442
MCO573785607,Botas Funda Zapatón En Latex Con Cierre Impermeables Moto,21500,1000,4.1,49702
MCO844377861,"Pato Para Carro, Moto, Bicicleta, Accesorio De Lujo",19500,585,4.8,18669
MCO883390298,Kit Protector De Manijas Para Autos 4 Unds Marcas,29900,130,4,5010
MCO835689364,Combo X4 Sticker Antiempañante Antilluvia Casco Espejos Moto,33900,250,2.2,10701
MCO562190390,Cargador Batería 12v Automóvil O Moto - Almasell ,35150,500,4.5,72706
MCO489153665,Guantes Para Moto 100% Impermeables Y Térmicos + Envío ,79900,1341,4.4,115952
MCO626831400,Protector De Calzado Para Moto Evitar Dañar Zapatos Y Tenis,15900,250,4.8,8249
MCO625558738,Balaclava Pasamontañas Con Malla Multifuncional Deportes,18000,500,4.5,37534
MCO847052153,Guantes City Táctiles Térmicos Con Reflectivo Moto Bici,41308,150,4.5,6253
MCO597258206,Impermeable Para Motociclista Tipo Sudadera 100% Impermeable,121900,982,4.2,236844
MCO595317399,"Pijama Para Carro Qp  S, M Y L Semi-impermeable Intemperie",89900,650,4.6,24020
MCO525091929,"Cargador Inteligente, Tester Bateria 12v Automovil Y Moto ",99900,500,4.8,115622
MCO612832773,Botas Impermeables Dakar Lluvia Invierno Para Motociclistas,59000,1073,4.8,33908
MCO595478492,Casco Abatible Ich3110 Certificados +placas/lonas Transporte,134900,650,4.7,69194
MCO562536464,"Leonardita, Acondicionador De Suelos",72000,250,4.7,11765
MCO555620638,Veneno Cancún No Tóxico Mata Cucarachas - G A $17000,18500,200,0,10331
MCO565966889,Solución Nutritiva Para Cultivos Hidropónicos. ,24000,250,4.8,13806
MCO822732949,Regent  X Litro - L a $125000,125000,50,0,1559
MCO819718209,Vetalog X 10 Ml,70000,100,0,905
MCO566638722,Pitaya Roja ,12000,200,4.9,5747
MCO592699335,Nitrato De Potasio Fertilizante Soluble Para Hidroponía.,22000,250,4.8,11531
MCO618838910,Nutrientes Para Hidroponia 100 Litros Aprox,7500,25,0,1528
MCO601282583,Sutura Absorbible X 12 Unidades 2.0 ( Polyglycolic Acid ),69999,50,0,1503
MCO598596578,Humus Reforzado X 30 Kilos,40000,25,0,1186
MCO576705741,Fitotripen (trichoderma) X 500 G - G A $100,50000,25,0,2064
MCO607182344,Hidroretenedor Polímero Retenedor De Agua,24000,50,0,1419
MCO640871523,Jabón Potásico Con Aceite Neem,29990,100,0,3217
MCO901402504,Carbon De Madera Para Asar Bulto,45000,5,0,118
MCO658346019,Abamectina 1.8 Ec- X 1lt,72000,5,0,955
MCO578958550,Esqueje Vainilla Planifolia,9000,200,4.8,4197
MCO817189634,Mata Babosa Molusquicida Baboxa,38500,50,0,2239
MCO842662915,Cal Agrícola Dolomita Bulto X 50kg Para Cultivo,44625,5,0,1380
MCO570043564,Solución Nutritiva Para Cultivos Hidroponia Para 1000 Litros,45000,250,5,12974
MCO602951378,Trapiche Metalico,580000,25,0,10173
MCO817169589,Grageas Asquerosas Harry Potter,14900,500,0,17791
MCO462491908,Yerba Mate Rosamonte 1 Kg - kg a $29900,29900,500,4.9,35942
MCO886228842,R 13 Jarabe - mL a $68,16900,500,4.8,4997
MCO601178555,Aceite De Oliva Extra Virgen La Españo - L a $28750,115000,500,5,8751
MCO463777232,Yerba Mate Rosamonte Tradicional X500 Gr,15900,500,4.9,23614
